method,PSNR,SSIM,runtime_s,image_index,image_name,sigma,p,p_pct,run_mode,resize_images,image_size,k
Proposed,28.289116144093573,0.7073087112142146,5.65125659900059,12,kodim12.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,17.81646469132702,0.4774676149938435,0.0,13,kodim13.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,26.367044942336165,0.8010846285135746,0.22995560500021384,13,kodim13.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,17.889117447623136,0.4797519342524231,0.292797148000318,13,kodim13.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.192931034331238,0.49655727672860595,4.077312771999459,13,kodim13.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,26.179979391552834,0.8263862228506058,4.3338782230002835,13,kodim13.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,17.74681560179451,0.41373996012056646,0.0,14,kodim14.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,28.064973122448635,0.7968755591607094,0.1749222259995804,14,kodim14.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,17.863754555859373,0.4252341419501807,0.20063129000027402,14,kodim14.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.19843806358032,0.44629626474476464,5.468495611000435,14,kodim14.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,27.561744449601733,0.8161608322599381,4.309423007000078,14,kodim14.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,17.251515070950802,0.3030830920259649,0.0,15,kodim15.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,29.47659095455449,0.7100762188096047,0.1847698470000978,15,kodim15.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,17.459888043924526,0.3711895637410722,0.228290900000502,15,kodim15.png,10,0.05,5,final,True,"(256, 256)",2.0
BM3D,17.727463686096883,0.39474126189959924,4.036783790999834,15,kodim15.png,10,0.05,5,final,True,"(256, 256)",2.0
Proposed,29.074661025358285,0.7699839848026186,5.907859163000467,15,kodim15.png,10,0.05,5,final,True,"(256, 256)",2.0
Noisy,17.982352711311812,0.2568326603385149,0.0,16,kodim16.png,10,0.05,5,final,True,"(256, 256)",2.0
AMF,29.381714801436118,0.6874164966535569,0.17597758699957922,16,kodim16.png,10,0.05,5,final,True,"(256, 256)",2.0
NLM,18.21026494803147,0.2780682325924634,0.2212083000003986,16,kodim16.png,10,0.05,5,final,True,"(256, 256)",2.0
