method,PSNR,SSIM,runtime_s,image_index,image_name,sigma,p,p_pct,run_mode,resize_images,image_size,k
Noisy,16.142595422888956,0.24704337379782892,0.0,17,kodim17.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.70706789012666,0.46982502821288447,0.18351192099999025,17,kodim17.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,21.868431457419092,0.5220952408191981,0.3582511930007968,17,kodim17.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,20.744961451099364,0.4835303139438095,5.472810584000399,17,kodim17.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,23.791490808177088,0.5315675902312829,4.79084458699981,17,kodim17.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,15.969396653190389,0.26930745974164566,0.0,18,kodim18.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.198146066020797,0.4783979430864477,0.1766318379995937,18,kodim18.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,20.943401100615354,0.4592924133627642,0.34674397199978557,18,kodim18.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,20.371141883427356,0.4446370816426998,4.361083724000309,18,kodim18.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,22.972206268663147,0.5191795661758631,5.9134445419995245,18,kodim18.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.211315852008678,0.23780794943848121,0.0,19,kodim19.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.030449391069105,0.4046106575274533,0.17561014700004307,19,kodim19.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,22.8503583660228,0.5609923921915431,0.36088575099984155,19,kodim19.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,22.223351542698847,0.49416944986938055,4.571804240000347,19,kodim19.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,22.9902088217071,0.4634950754099395,5.327099701999941,19,kodim19.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,15.850851549229168,0.20914507709508517,0.0,20,kodim20.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,23.439588654942966,0.43929457642107406,0.2213254609996511,20,kodim20.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,21.176585746318302,0.5435488921152053,0.5562966500001494,20,kodim20.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,18.974471816872057,0.42883788845149534,4.675379414999952,20,kodim20.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,24.743188793435813,0.5770570684642643,4.554551597000682,20,kodim20.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.402503096509278,0.25698304775348085,0.0,21,kodim21.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.10382607443219,0.42748029419627415,0.17532741200011515,21,kodim21.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,22.666700325013313,0.5943770234523487,0.3682711100000233,21,kodim21.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,22.620214059942143,0.550449011747007,6.026700289000473,21,kodim21.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,23.028417941363138,0.47266025853190946,4.693304221999824,21,kodim21.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.43453367464752,0.199916093248335,0.0,22,kodim22.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.3732573958413,0.3897858979929036,0.1833442239994838,22,kodim22.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,24.08051731134026,0.525512937438244,0.3813254520000555,22,kodim22.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,23.310003742773652,0.4817706896439198,5.721902028999466,22,kodim22.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,23.394645433288343,0.43851511178682373,4.758789495999736,22,kodim22.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.281437571151077,0.18208926238386894,0.0,23,kodim23.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.577486317879462,0.3703936635108061,0.17976472200007265,23,kodim23.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,23.91237071999143,0.5798022877364903,0.3819279250001273,23,kodim23.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,22.829718556628453,0.483651977265981,4.448590146999777,23,kodim23.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,23.58123517267571,0.418698310727004,5.839559399999416,23,kodim23.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,16.271728530687955,0.29968987192549656,0.0,24,kodim24.png,25,0.05,5,final,True,"(256, 256)",2.0
AMF,22.063585244585976,0.5074918500397663,0.18359303299985186,24,kodim24.png,25,0.05,5,final,True,"(256, 256)",2.0
NLM,21.79290814968697,0.5382097614952663,0.3571454069997344,24,kodim24.png,25,0.05,5,final,True,"(256, 256)",2.0
BM3D,21.38577184441004,0.5296168721746314,4.330138004000219,24,kodim24.png,25,0.05,5,final,True,"(256, 256)",2.0
Proposed,22.977814338863617,0.5613005605024723,5.139186046999384,24,kodim24.png,25,0.05,5,final,True,"(256, 256)",2.0
Noisy,14.322789539787987,0.2625661998784886,0.0,1,kodim01.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,21.342080626809445,0.5341619579711976,0.2493304489998991,1,kodim01.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,16.67955518280284,0.3412874068997206,0.3799006899998858,1,kodim01.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,16.830014603388253,0.3516751758136761,4.500318071999573,1,kodim01.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,20.865884681649327,0.5477122806783291,4.426787817999866,1,kodim01.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.196100900091311,0.0790554338669608,0.0,2,kodim02.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,22.184435035318852,0.25573155898130606,0.1773591929995746,2,kodim02.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,17.88553419189808,0.19293071245214263,0.30955325800005085,2,kodim02.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,17.42358973088643,0.14922595620417511,5.848892775999957,2,kodim02.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,22.910882064377542,0.29092327607479285,4.670780178000314,2,kodim02.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.246550237405721,0.126921043950502,0.0,3,kodim03.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,22.118407806480825,0.33597674190106647,0.18474668799990468,3,kodim03.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,17.540283128258157,0.2486963501817725,0.29036377700049343,3,kodim03.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,17.46009896495101,0.21459779745567475,4.273556713999824,3,kodim03.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,22.48022576141406,0.37392905711898905,6.123426678999749,3,kodim03.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.318843653911252,0.13401034485575639,0.0,4,kodim04.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,22.096081859050983,0.36413757019326465,0.17720933600048738,4,kodim04.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,17.642094806961147,0.2643083176016207,0.29040449600051943,4,kodim04.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,17.506617322648985,0.22585640750443337,4.291080538000642,4,kodim04.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,22.376371296668115,0.4020949869993681,6.041687954000736,4,kodim04.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.059356089318474,0.33915636560906887,0.0,5,kodim05.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,21.345015720910446,0.6343087907751818,0.1781352819998574,5,kodim05.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,15.630566196871582,0.39461974463293464,0.24274123400027747,5,kodim05.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,16.02312286107676,0.41196533299912197,3.8617336979996253,5,kodim05.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,20.83149116500791,0.6405953118635416,4.2046707030003745,5,kodim05.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.035862331104347,0.16005523554742118,0.0,6,kodim06.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,21.860698526732143,0.39367243803641994,0.17545412600065902,6,kodim06.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,16.82437115699903,0.25704697596217263,0.2837929710003664,6,kodim06.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,16.725191240621264,0.23662707796292126,5.768275622999681,6,kodim06.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,21.946928408510722,0.43916798952470243,4.6255289800001265,6,kodim06.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.506140331161603,0.2114381071968506,0.0,7,kodim07.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,21.89485669791706,0.4767262969221905,0.17659454299973731,7,kodim07.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,17.654361009461525,0.33977945970625095,0.28312182700028643,7,kodim07.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,17.62129803333796,0.3177885376439409,4.774653899999976,7,kodim07.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,21.64987164263012,0.4982965572207901,5.19050577500002,7,kodim07.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.105796466974539,0.38981241155313473,0.0,8,kodim08.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,20.792236499735147,0.6404499123559967,0.17681538700071542,8,kodim08.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,15.527904414323173,0.4519831132544604,0.22925848599970777,8,kodim08.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,16.137765207318733,0.47100219682431255,3.908764883999538,8,kodim08.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,19.83666821630185,0.6476263571822718,5.596077947000595,8,kodim08.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.465036000854985,0.15216882438285398,0.0,9,kodim09.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,21.947419662611964,0.3548593908998063,0.2301860650004528,9,kodim09.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,18.065261275255274,0.2854943234007194,0.3071390049999536,9,kodim09.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,17.881173814747036,0.24319853838125766,4.33578529999977,9,kodim09.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,21.772970616056647,0.3821042173560458,4.696560924000551,9,kodim09.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.454621945677628,0.15087989097427035,0.0,10,kodim10.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,21.971875167464574,0.37753017235978076,0.18277807400045276,10,kodim10.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,18.144295050224915,0.2768959931458026,0.2963163109998277,10,kodim10.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,17.725350234127344,0.23822366639352968,5.915198151999903,10,kodim10.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,21.86156074792993,0.40456282027207946,4.589799039999889,10,kodim10.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.215571426446589,0.17746942325570964,0.0,11,kodim11.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,22.011287906689304,0.41572919011371395,0.17606693699963216,11,kodim11.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,17.075557217406818,0.27555250718630514,0.28283342699978675,11,kodim11.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,17.004939254671886,0.254815414935397,5.271771560999696,11,kodim11.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,22.2144112193321,0.4619757505594145,4.811068768999576,11,kodim11.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.202697392326959,0.11419921377191806,0.0,12,kodim12.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,22.190464672107545,0.31046608941038045,0.17663670999991155,12,kodim12.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,17.523855999685786,0.23896787061101155,0.2948246569994808,12,kodim12.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,17.364744610339045,0.19449979832295178,4.282767151999906,12,kodim12.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,22.3389857318139,0.3435132459103692,6.042420871000104,12,kodim12.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.323801981432428,0.2789517700958234,0.0,13,kodim13.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,21.28040038873489,0.546315534171325,0.1766551470000195,13,kodim13.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,16.462603810641866,0.3478137485524949,0.25591230699956213,13,kodim13.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,16.70728800385705,0.3570215833691529,4.204419272999985,13,kodim13.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,20.776728716614965,0.5514603528252919,4.636519865000082,13,kodim13.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.198095345661013,0.2247461604585097,0.0,14,kodim14.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,21.800503252473167,0.5038188751083166,0.22901189499953034,14,kodim14.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,16.63098422614318,0.3124103302454771,0.39091948500026774,14,kodim14.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,16.672957765118397,0.3098906148919008,5.018108686999767,14,kodim14.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,21.653538180712033,0.5248073913046895,4.419310416999906,14,kodim14.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,13.61882966256358,0.14517988513517371,0.0,15,kodim15.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,22.61190019663936,0.3854149071620221,0.17673099300009198,15,kodim15.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,15.844259260292501,0.24841205493995758,0.27672170200003166,15,kodim15.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,16.046981058810438,0.22654146906858125,5.458394937999401,15,kodim15.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,23.675571738178274,0.4798828015318941,4.627554794999924,15,kodim15.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.324175518563688,0.11047630956644496,0.0,16,kodim16.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,22.153237127451845,0.3283798929295139,0.17726698600017698,16,kodim16.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,17.995741035450006,0.23106429332947245,0.30907881500024814,16,kodim16.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,17.69203054820024,0.1924214249521853,4.425340708000476,16,kodim16.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,22.490675115815492,0.3606013639326678,5.989520576000359,16,kodim16.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,13.99110075155993,0.17483916135299224,0.0,17,kodim17.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,22.291678076302087,0.4518972531476263,0.18322764900040056,17,kodim17.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,16.522305983048334,0.2754598849940188,0.2701129389997732,17,kodim17.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,16.560232761591337,0.26741498046549533,4.054283806000058,17,kodim17.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,22.564180461638102,0.5098662061695168,4.95823961699989,17,kodim17.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,13.986419448528249,0.19410068307482073,0.0,18,kodim18.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,21.853134903706266,0.4630843291657159,0.2288744150000639,18,kodim18.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,16.25170170582342,0.2613181364559356,0.4039465420000852,18,kodim18.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,16.36218845610637,0.26495181586405464,4.535269875999802,18,kodim18.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,22.012362532998942,0.48800178163193586,4.436385092999444,18,kodim18.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.294762423677373,0.18161097543778842,0.0,19,kodim19.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,21.702994106936355,0.3945519068266947,0.1837613119996604,19,kodim19.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,17.334174969917733,0.2947738295306671,0.2848999959996945,19,kodim19.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,17.330088065139588,0.26819001612351506,5.657217637999565,19,kodim19.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,21.629671100782886,0.4227347165983096,4.605730067000877,19,kodim19.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,13.395724775395772,0.14254430221627243,0.0,20,kodim20.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,23.050035919492487,0.42196218544530545,0.16548777999923914,20,kodim20.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,15.679839128132038,0.24608483924303548,0.2872530590002498,20,kodim20.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,15.536001642758386,0.22060741960519514,4.173630508000315,20,kodim20.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,23.693073314847748,0.5676356174923889,6.013020538000092,20,kodim20.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.385489825047014,0.19182700059832103,0.0,21,kodim21.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,21.677019645845693,0.41193874853817003,0.1756426800002373,21,kodim21.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,17.423682287640364,0.30442042575011946,0.2821316609997666,21,kodim21.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,17.54009131004674,0.27709546301879834,4.495615675999943,21,kodim21.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,21.52799767306368,0.43470008741160904,5.8441212689995155,21,kodim21.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.367963379797962,0.13767104668385052,0.0,22,kodim22.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,21.985460138780685,0.37281844827666527,0.2271210830003838,22,kodim22.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,17.839019269973093,0.25115065374470674,0.4228371480003261,22,kodim22.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,17.517191595369365,0.21834242099583323,4.2831344719998015,22,kodim22.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,21.954788803424847,0.39269362631716126,4.514201164000042,22,kodim22.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.283173729590244,0.1293540330045059,0.0,23,kodim23.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,22.137148902564565,0.35507939463476557,0.17805946099997527,23,kodim23.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,17.65862041623532,0.26405591849535504,0.2982620200000383,23,kodim23.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,17.476138389409094,0.22222679784129382,5.546831632999783,23,kodim23.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,22.27784901487475,0.3824871989979185,4.4751192559997435,23,kodim23.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,14.20899859740571,0.2172001224975622,0.0,24,kodim24.png,25,0.1,10,final,True,"(256, 256)",2.0
AMF,21.7569734701876,0.49577801171893904,0.17811800699928426,24,kodim24.png,25,0.1,10,final,True,"(256, 256)",2.0
NLM,16.76153112733161,0.30960371482668264,0.2655620360001194,24,kodim24.png,25,0.1,10,final,True,"(256, 256)",2.0
BM3D,16.80955503041075,0.3075372593459077,4.22908266200011,24,kodim24.png,25,0.1,10,final,True,"(256, 256)",2.0
Proposed,21.581198196416082,0.517969271491658,5.696805634000157,24,kodim24.png,25,0.1,10,final,True,"(256, 256)",2.0
Noisy,11.991647235858498,0.16493501014328388,0.0,1,kodim01.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,20.777092132865825,0.5073651296059196,0.18986847500036674,1,kodim01.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,12.172957340098556,0.16910860284374427,0.18109322800046357,1,kodim01.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.883575128881686,0.18579196573095097,3.9568125970008623,1,kodim01.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,16.000862102905973,0.34634761523177116,5.1052108920002865,1,kodim01.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.644893335479294,0.04367420901985674,0.0,2,kodim02.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.72220588100668,0.24459875812337098,0.23030154400021274,2,kodim02.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,12.007098876389604,0.047413878167311616,0.29051302100015164,2,kodim02.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.545598062531917,0.050846430506173705,4.138195076000557,2,kodim02.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,20.07076776317129,0.22404309506388193,4.643707978999373,2,kodim02.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.95857540282831,0.07772683673184318,0.0,3,kodim03.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.576876887793574,0.31480913910042563,0.17756398500023352,3,kodim03.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,12.280530282326385,0.08242843635043619,0.19755510899994988,3,kodim03.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.928069572944032,0.0908855739570631,5.389272648999395,3,kodim03.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,17.67716587386686,0.24879818422816777,4.489306948999911,3,kodim03.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.891053572054172,0.08082518658418841,0.0,4,kodim04.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.611159759069682,0.34535531879856274,0.1764326920001622,4,kodim04.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,12.214886995080105,0.08614689244995472,0.18905406599969865,4,kodim04.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.845751634046696,0.09470277236779706,4.037872036000408,4,kodim04.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,18.08185456815192,0.28459588098265626,6.032292201000018,4,kodim04.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.51453754148049,0.22036384782636864,0.0,5,kodim05.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,20.78520048728004,0.6135539721154124,0.17771193699991272,5,kodim05.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,11.634955231781314,0.22235927379711898,0.18064725099975476,5,kodim05.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.218954466280575,0.2387616362698117,3.7370182419999765,5,kodim05.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,17.334162442249777,0.5068973602725068,4.267693955999675,5,kodim05.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.68650071288553,0.1028405099502789,0.0,6,kodim06.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.36647914693326,0.37804302338337603,0.22898045600049954,6,kodim06.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,11.954169508208148,0.10648110226027677,0.28410432700002275,6,kodim06.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.551711141097435,0.11590175805757492,5.046223198000007,6,kodim06.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,17.705563430590907,0.31711460978940376,4.5441524739999295,6,kodim06.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.045840942488832,0.12836323138501812,0.0,7,kodim07.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.263560938570514,0.4527086988385264,0.17869084300036775,7,kodim07.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,12.273524366441023,0.1328903631546395,0.20057837599961204,7,kodim07.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.988580639784349,0.14662604853011163,4.94853123699977,7,kodim07.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,16.61512688613807,0.32463920349663705,4.785398689000431,7,kodim07.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.687640797794128,0.2763827030713472,0.0,8,kodim08.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,20.140778174504057,0.623213549788789,0.1806102139998984,8,kodim08.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,11.805140297605398,0.2795512706350487,0.18007240800034197,8,kodim08.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.448792491256812,0.3011146828005043,3.8231678499996633,8,kodim08.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,15.923356067103045,0.4977911402068588,5.21524337000028,8,kodim08.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.07609453189705,0.09770893961600825,0.0,9,kodim09.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.3625416264672,0.3336249227094242,0.23062512900014553,9,kodim09.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,12.383631921961891,0.10181888088877737,0.2840371560005224,9,kodim09.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,13.079069583749476,0.11151479213079242,4.070881808000195,9,kodim09.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,16.611884308648044,0.2299940593952724,4.533230414999707,9,kodim09.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,12.125377664060121,0.09311627592969036,0.0,10,kodim10.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.451004670396078,0.3598624551945423,0.1780244510000557,10,kodim10.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,12.450083530236517,0.0976397702046181,0.19882103899999493,10,kodim10.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,13.130945532345075,0.10728648051749667,5.382405192000078,10,kodim10.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,16.932312897137507,0.2491068383263837,4.5347431270001834,10,kodim10.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.800802428187309,0.10720601206003771,0.0,11,kodim11.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.451590296134412,0.3957593949159443,0.17748939400007657,11,kodim11.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,12.040265703444494,0.11071945186285119,0.19028198100022564,11,kodim11.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.698389478530938,0.12133039907900023,3.922146302999863,11,kodim11.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,17.127496479628327,0.32353639079425783,5.790058226999463,11,kodim11.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.657052679527027,0.07055591921074943,0.0,12,kodim12.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,21.562684731184238,0.2889085664071761,0.18372588500005804,12,kodim12.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,11.963701902869051,0.07414512829933123,0.18759880299967335,12,kodim12.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.531019359456366,0.08042795103337029,3.9488315839998904,12,kodim12.png,25,0.2,20,final,True,"(256, 256)",2.0
Proposed,18.55990722864587,0.25650421441910015,4.953363771999648,12,kodim12.png,25,0.2,20,final,True,"(256, 256)",2.0
Noisy,11.787559329993533,0.1706874081107711,0.0,13,kodim13.png,25,0.2,20,final,True,"(256, 256)",2.0
AMF,20.700773226372785,0.5228011377399899,0.22851369799991517,13,kodim13.png,25,0.2,20,final,True,"(256, 256)",2.0
NLM,11.943986113129723,0.17307932289408448,0.28189629900043656,13,kodim13.png,25,0.2,20,final,True,"(256, 256)",2.0
BM3D,12.585842011723113,0.18721450487667476,4.804126005999933,13,kodim13.png,25,0.2,20,final,True,"(256, 256)",2.0
